"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","outcome","treated"
"1","1","0","0","1","0","1","0","0","1","1","0","1","0","1","1","1","0","0","1","0","0","1","1","1","0","0","0","0","0",8.7485098296017,1
"0","1","0","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0",-3.84232076399615,1
"0","0","1","1","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","1","1","1","1","0","0","0",9.95814586980871,1
"0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","1","1","1","0","0","1","1","1","0","1","1","0","0","0","0",1.10666927818719,0
"0","0","1","1","0","0","1","0","0","1","1","1","0","0","1","1","0","1","1","0","0","0","1","1","0","1","0","1","1","1",5.8919254335618,0
"1","1","1","0","1","0","1","1","0","0","0","1","1","0","1","1","0","1","1","1","0","1","0","1","1","1","1","0","1","0",8.99406471730388,0
"0","1","0","0","0","0","1","1","0","0","0","1","1","1","0","1","0","0","1","0","0","0","0","0","1","1","0","0","1","0",-9.67658000179221,0
"0","0","0","0","1","0","1","1","0","1","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",0.0879965489841349,0
"0","1","1","1","0","1","1","0","0","1","0","0","0","1","1","0","1","1","1","1","0","1","0","0","0","1","0","1","1","0",0.324187853763473,1
"1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","1","0","1","1","0","0","1","0","0","0","0","1","1",13.859602781452,1
"0","1","1","0","0","0","1","1","0","0","1","1","0","1","1","0","0","1","1","0","0","1","1","1","1","1","1","0","0","1",-4.52480861673816,0
"1","1","0","1","0","1","0","1","0","0","0","0","1","1","1","1","0","1","0","0","1","1","1","0","0","0","0","1","1","0",11.5950167573335,1
"0","0","1","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","1","0","1","0","0","1","1",5.35528507559506,0
"1","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0","1","1","0","1","1","1","0","1","0","1","1","0","0","0",14.8238556101302,0
"0","0","0","0","1","0","0","1","1","0","1","1","0","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1",0.104199361466026,0
"1","1","1","0","1","0","1","1","0","0","1","0","0","1","0","1","1","0","1","0","0","0","1","0","1","1","1","1","1","1",10.3646738610765,0
"0","1","1","0","0","0","1","0","1","0","1","0","0","1","1","1","0","0","1","1","0","1","1","0","0","1","0","0","1","0",-5.55050133070859,0
"0","0","0","1","0","0","0","1","1","0","0","1","1","0","1","1","1","1","1","0","1","0","1","1","0","1","1","0","0","1",4.758190615208,1
"1","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","0","0","0","0","1","0","1","0","1","0","0",20.2738689553553,0
"1","1","0","1","0","1","1","1","0","0","1","1","0","0","1","1","1","1","0","1","1","0","0","1","0","1","0","1","0","1",6.81920080339904,0
"1","1","0","1","0","1","1","0","1","0","0","1","1","1","1","1","0","1","1","0","1","1","1","0","1","0","1","1","1","1",6.26834059629998,0
"1","1","1","0","0","0","0","0","1","1","1","1","1","0","1","0","0","0","0","0","1","1","1","1","1","1","0","0","1","1",15.5889305575836,1
"1","1","1","0","0","0","1","1","0","0","1","1","0","0","1","0","0","1","0","1","1","1","0","0","1","1","0","1","1","1",10.8903129254477,0
"1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1",9.20050787281346,0
"0","1","0","1","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","1","1",-9.46046964233941,0
"0","1","1","1","1","0","1","1","1","0","1","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","1","0",-0.393905267582416,1
"1","1","0","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1","1","1","0","1",6.55613500441297,0
"0","1","1","1","0","1","1","0","1","0","1","0","1","1","1","1","0","1","0","1","1","1","0","0","1","1","1","0","0","1",-5.72483877518404,0
"0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","1","0","1","0","0","1","1","1","0","0","1","0","1",-1.11894422370451,0
"1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0",10.5548155708161,1
"1","1","1","1","0","1","1","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1",13.4472427457111,0
"1","0","1","1","0","0","0","1","1","0","0","1","1","0","0","1","1","1","1","1","1","0","1","0","1","1","0","0","0","1",19.0864865251948,0
"0","0","0","1","1","1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","1","1","1","0","1","1","0","1","1","1",4.42781070300638,1
