"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","outcome","treated"
"0","1","1","0","0","1","0","1","1","0","0","0","0","1","0","1","1","0","1","0",-5.94215733342465,0
"1","0","1","0","1","1","1","1","0","0","0","0","0","1","1","0","0","1","1","0",24.7824100687367,1
"0","0","0","1","1","0","1","1","1","0","1","1","1","1","0","0","0","1","1","1",1.57587999681157,0
"1","0","0","1","1","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0",14.56232224686,0
"0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","1","1","1","1","0",4.92370016686766,0
"1","1","1","0","0","0","0","0","0","1","1","1","1","0","1","0","1","0","0","1",14.0674433408873,1
"1","0","0","1","1","1","0","0","0","1","1","0","1","0","0","1","1","0","1","1",20.1086208749121,1
"0","1","1","0","0","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1",-2.02967486637484,1
"1","0","1","1","0","0","1","1","0","1","0","0","1","1","1","1","1","1","1","0",20.473926544646,0
"0","0","0","1","1","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1",-1.26521002466216,0
"1","0","1","1","0","0","0","0","1","1","0","1","0","1","1","1","1","1","0","0",25.8563176557644,1
"1","0","0","0","1","1","1","0","0","1","0","0","1","1","1","0","0","0","0","0",16.7746752103668,0
"0","0","1","1","0","0","1","0","1","0","1","1","0","0","1","1","1","1","1","1",6.65307797973133,0
"1","1","0","0","0","0","0","1","0","1","0","1","1","1","0","1","1","0","0","0",5.50902465613739,0
"1","1","0","1","0","1","1","1","0","0","0","0","0","0","0","1","1","1","0","1",9.93262092956029,1
"0","0","0","1","1","0","1","1","1","0","0","1","1","0","1","1","0","1","1","1",5.25976597134881,1
"0","0","1","0","0","1","1","1","1","1","1","1","0","1","0","0","1","1","1","0",9.91929588624039,1
"1","0","1","0","0","1","0","1","0","1","1","1","0","0","0","0","0","0","1","1",18.4294696498389,0
"0","1","0","1","0","0","1","0","1","0","1","0","0","1","1","1","1","0","0","0",-6.32248487413112,1
"1","1","0","1","1","0","1","0","0","1","1","1","0","0","1","1","1","1","0","0",5.46444629054043,0
"1","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","0",15.3848521558407,0
"0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","1","1","1",0.236769584662448,0
"1","0","1","0","0","1","1","1","0","0","1","1","0","1","1","1","0","0","1","0",20.0745651849398,0
"0","1","0","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1",-9.84082889519287,0
"0","1","1","0","0","0","0","1","1","1","0","1","1","1","1","0","0","1","1","1",-1.60223690095797,1
"1","1","0","1","0","1","1","0","1","1","0","1","0","1","0","0","1","1","1","0",10.1289185308388,1
"1","1","0","0","0","1","1","1","0","1","1","0","0","0","0","0","1","0","1","1",9.09356143610055,1
"0","0","1","1","0","1","1","0","0","0","1","1","1","0","1","1","0","0","1","1",9.12415268223329,1
"0","1","1","1","0","1","0","0","0","1","0","1","1","1","1","0","0","0","0","1",-1.80412373368265,1
"0","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","0","1","1",-0.396684892498947,1
"0","1","1","0","0","0","1","0","1","1","0","0","0","1","1","1","1","1","0","1",-5.76445637133383,0
"0","1","0","1","0","1","1","1","1","1","1","0","0","0","0","1","1","1","0","1",-9.85307191964544,0
"1","1","0","1","1","1","0","1","0","0","0","1","0","0","1","0","0","0","1","1",11.2676660016496,1
"1","1","0","1","1","0","0","0","0","1","1","1","0","1","1","0","1","1","1","0",10.8336780134885,1
"1","0","1","0","1","1","1","1","0","1","1","1","0","1","1","0","0","0","1","1",25.2450620052894,1
"0","0","0","0","1","1","1","1","1","0","1","1","0","1","1","0","0","0","0","1",5.33418940605961,1
"0","0","0","0","1","0","0","1","1","1","0","0","0","1","0","1","0","1","0","1",0.401694858018464,0
"1","0","1","0","0","1","1","1","0","1","0","1","1","1","0","1","1","1","0","1",24.6612049272416,1
"1","0","0","1","0","1","0","1","1","1","1","0","1","1","1","1","0","1","0","0",20.3536711125089,1
"1","1","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0",5.06946062422821,0
"1","1","0","0","1","0","0","1","0","1","0","1","1","0","1","1","0","1","1","1",4.4139026188322,0
