yearAuto,WRKSTAT,MARITAL,DIVORCE,AGE,EDUC,DEGREE,SEX,RACE,RES16,BORN,PARBORN,INCOME,RINCOME,PARTYID,POLVIEWS,treated,outcome
1,1,5,NA,3,14,1,1,1,6,1,8,11,11,3,4,1,2
1,7,2,2,6,16,3,2,1,5,1,0,12,NA,6,6,1,3
1,1,5,NA,5,16,3,2,1,5,1,0,12,6,0,2,1,3
1,5,4,NA,8,14,1,2,2,5,1,0,NA,NA,0,4,1,1
1,2,4,NA,5,14,2,2,2,3,1,0,NA,NA,0,4,1,1
1,7,4,NA,5,10,0,1,2,6,1,0,5,NA,1,1,1,1
1,7,5,NA,2,10,0,2,1,6,2,8,9,NA,5,4,0,2
1,1,1,1,4,18,4,1,1,4,1,0,8,8,1,2,1,2
1,1,5,NA,3,17,3,2,1,4,1,0,8,4,1,2,1,1
1,2,3,NA,6,18,4,1,1,4,1,0,11,8,4,5,0,3
1,1,5,NA,3,12,1,2,1,6,1,8,12,NA,1,4,1,3
1,7,5,NA,4,12,1,2,3,6,2,8,NA,NA,2,NA,0,1
1,1,5,NA,3,11,0,1,3,6,1,0,9,9,0,1,0,1
1,7,3,NA,4,6,0,2,1,3,2,8,8,NA,0,1,1,1
1,7,2,2,7,8,0,2,3,3,2,8,7,NA,1,6,1,3
1,8,1,1,7,10,0,1,1,3,2,8,4,NA,1,3,1,3
1,1,5,NA,4,11,0,1,2,6,1,0,12,12,1,3,0,1
1,7,2,2,9,0,0,2,1,6,2,8,NA,NA,1,4,0,1
1,1,1,2,5,12,1,2,2,3,2,8,NA,NA,1,4,1,3
1,7,1,2,4,14,1,2,2,6,2,8,12,NA,1,5,1,1
1,5,2,2,8,7,0,2,1,4,2,8,6,NA,0,NA,1,3
1,1,5,NA,4,16,3,2,2,6,2,8,NA,NA,0,4,0,2
1,7,3,NA,5,12,1,2,2,6,2,8,NA,NA,0,2,1,2
1,1,1,2,3,16,3,2,1,6,2,8,12,11,5,6,1,3
1,7,1,9,4,12,1,2,1,5,1,0,NA,NA,NA,NA,0,1
1,2,1,1,7,12,1,1,1,6,1,0,9,5,5,4,1,3
1,7,1,2,6,11,0,2,1,6,1,3,12,12,0,6,1,3
1,2,5,NA,2,14,1,1,1,5,1,0,12,9,5,4,1,2
1,1,1,2,3,12,1,1,1,6,2,8,11,11,1,4,0,3
1,8,5,NA,3,8,0,2,1,6,1,0,NA,NA,4,NA,0,1
1,1,4,NA,3,16,3,2,1,5,1,0,11,11,4,5,0,1
1,1,1,2,4,12,1,2,1,4,1,8,12,9,5,3,0,1
1,1,1,2,5,14,2,2,2,2,1,0,12,12,1,6,0,1
1,7,5,NA,4,13,1,2,2,3,2,8,5,NA,0,4,1,2
1,7,1,2,3,12,1,2,3,6,1,0,12,7,1,5,1,1
1,2,5,NA,3,15,1,1,1,5,1,0,12,10,6,3,0,2
1,1,1,2,6,12,1,1,1,6,1,8,12,12,5,4,0,2
1,1,1,2,4,18,4,2,1,6,1,2,12,12,3,5,0,2
1,1,2,2,6,12,1,2,1,6,1,0,12,9,3,4,0,1
1,1,1,2,3,18,4,1,1,6,1,0,12,12,4,6,0,3
1,1,1,2,4,14,1,1,1,4,1,0,12,12,3,2,1,3
1,5,2,2,7,12,1,2,1,6,2,8,NA,NA,6,7,0,1
1,1,4,NA,3,16,1,2,1,3,1,0,10,10,5,3,0,1
1,4,5,NA,3,12,1,1,1,3,1,0,12,11,3,4,0,1
1,2,5,NA,2,11,0,1,1,5,1,0,NA,2,5,3,1,1
1,1,5,NA,3,12,1,1,3,4,2,8,11,11,3,NA,0,3
1,2,1,1,4,14,1,2,1,3,1,1,12,2,0,3,1,2
1,5,3,NA,7,10,0,2,1,6,1,0,9,NA,3,2,1,3
1,6,5,NA,3,12,1,1,1,3,1,0,NA,3,3,1,0,1
1,1,1,2,5,16,3,2,1,3,1,0,12,12,0,3,0,2
1,1,5,NA,3,12,1,1,1,3,1,0,11,11,2,4,0,2
1,1,2,2,3,11,0,1,1,6,1,0,12,10,3,4,0,1
1,1,5,NA,3,15,2,1,1,6,1,0,12,12,5,3,0,1
1,1,4,NA,3,9,0,1,1,5,1,0,9,9,1,NA,1,1
1,1,1,1,5,10,0,1,1,5,1,0,11,10,1,6,1,3
