"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","outcome","treated"
"1","1","0","1","1","0","1","0","1","0","0","1","0","1","1","1","1","1","0","0","0","1","1","0","0","1","0","1","0","1","1","0","1","1","0","1","1","1","0","0","0","0","1","0","1","1","0","1","1","0",5.14304524910498,0
"1","1","1","1","0","1","0","0","0","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","1","1","0","1","0","1","0","1","0","1","1","1","1","1","0","1","0","0",14.3773017916218,1
"1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","1","1","1","0","1","1","0","0","1","1","0","1","0","1","1","1","0","0","0","0","0","1","0","0","0","1","1","1",4.12991612014413,0
"0","1","0","1","1","1","1","0","1","1","1","1","1","0","0","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","0","0","0","1","1","0","1","0","1","0","0","0","1","1","0","1","1","1","1","0",-10.8584447228151,0
"0","0","1","1","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","1","1","0","1","1","0","0",7.18685734482984,0
"0","1","0","1","1","1","0","0","0","1","0","1","1","1","0","0","1","1","0","0","1","1","0","0","0","1","1","1","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1",-6.88358599490221,1
"0","0","0","0","1","1","1","0","0","1","1","0","1","0","1","1","0","1","1","1","0","1","1","0","1","1","1","0","1","0","0","0","1","1","1","1","0","0","1","0","0","1","1","1","1","0","0","0","1","1",-0.00751724861047074,0
"0","1","1","1","0","0","0","0","1","0","1","1","0","0","0","1","0","0","1","1","1","0","0","1","1","1","1","0","1","1","1","0","0","1","0","1","0","1","0","0","0","0","1","1","0","0","1","1","1","0",-5.12237881667636,0
"1","0","1","1","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","1","0","1","1","0","0","1","1","1","1","1","0","1","0","1","1","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1",25.171245148059,1
"0","1","1","1","0","0","1","1","0","0","0","1","1","0","1","1","0","0","1","1","0","0","1","1","1","0","1","0","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","0","1","0","0","0",2.07397537165291,1
"0","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","1","1","1","1","0",-5.09347107564114,0
"1","1","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","1","1","1","1","1","0","1","1","1","0","1","0","0","0","0","0","0","1","0","0","1",8.70072941308231,1
"0","0","1","0","0","0","0","0","1","0","0","1","0","1","1","1","0","1","0","0","1","0","0","1","0","0","1","1","0","1","1","0","0","1","0","0","0","1","1","0","1","0","0","0","1","0","1","1","1","1",9.41610180481867,1
"1","0","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","0","1","0","1","0","1","1","0","0","0","1","1","1","0","0","0","0","1","0","1","0","0","1","0","1","1",20.4572914737257,0
"1","1","1","1","0","0","0","1","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0","1","1","0","0","1",10.8729427399002,0
"1","1","1","0","1","0","0","0","1","1","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","0","1","0","0","1","1","1","1","0","0","0","1","1","0","0","1","1","1","1","0","1","0","0","0",14.3859815988136,1
"0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","1",-0.954906033562682,0
"1","1","0","1","1","0","0","1","1","0","0","0","1","1","0","0","1","0","0","0","0","1","1","0","1","0","1","0","1","1","1","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1",4.96086899417983,0
"0","1","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","1","0","1","1",-3.51694296720297,1
"1","1","1","0","0","0","0","1","0","1","0","1","0","1","1","0","1","1","0","1","0","1","1","0","0","1","0","1","1","1","0","0","1","1","0","0","0","1","0","1","1","0","1","1","1","1","1","0","0","0",8.82848596907593,0
"0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","1","1","1","0","1","1","0","0","1","1","0","1","0","1","1","1","0","0","1","0","1","0","0","0","0","1","1","0","1","1","0","1","1","0","0",-4.78689362781609,0
"0","0","1","1","1","0","1","0","1","1","1","1","1","0","1","1","0","1","1","0","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0","1","0","1","0","0","1","1","1","1","1","0","0","0","1","1",8.63895899664154,1
"1","0","1","1","0","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0","1","0","1","1","1","1","0","0","1","0","1","1","1","0","0","1","0","1","0","0","0","1","1","0","1","1","1","0","1",19.816796059061,0
"1","0","1","0","0","1","1","1","1","1","1","0","1","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","1","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","0","0","1","0","0","0",24.1070626456935,1
"1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1","1","1","1","0","1","0","0","1","1","0","0","0","0","1","0","1","0","1","1","0","0","0","1","0","1",10.3078285417651,0
"0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","1","0","0","1","0","1","1","1","0","1","1","0","1","1","0","0","0","0","0","0",-1.12543297936557,0
"0","1","0","1","0","1","1","1","0","0","0","1","1","1","0","0","0","0","1","0","0","1","0","1","1","0","0","1","1","0","1","1","1","1","1","0","0","1","0","1","1","1","0","0","1","1","0","0","0","0",-5.3633288843638,1
"1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","1","1","0","0","1","0","0","0","0","1","0","1","1","1","0","1","0","0","1","0","0",6.24758507978407,0
"1","1","0","1","1","0","1","1","0","1","1","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0",11.3816784491995,1
"0","0","0","1","0","1","1","1","0","0","1","0","1","1","1","0","1","0","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","0","0","1","0","0","0","1",-1.87767909773453,0
"0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1",4.01300794946811,1
"1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","0","0","1","0","0","0","0","1","1","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","0","1","1",21.2316316307378,1
"1","1","0","0","0","0","0","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","0","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","1","1","0","1","1","0","0",4.81315079132944,0
"0","0","0","1","1","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","1","0","1","1","1","1","1","0","0","1","0","1","1","0","0","0","0","1","1","1","1","1","0","1","1","1","0","0",0.750795010511702,0
"1","1","1","1","0","0","0","0","0","1","1","1","0","1","0","1","1","0","0","1","1","0","0","0","0","1","0","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1",16.2977706425874,1
"0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","1","0","0","1","1","0","0","1","1","1","0","1","0","0","0",6.90854659739894,1
