"X1","X2","X3","X4","X5","outcome","treated"
"0","1","0","1","1",-10.0001919678996,0
"1","0","1","0","1",19.5856371317822,0
"1","1","0","1","0",6.47831884526135,0
"0","1","0","1","0",-9.23280202940576,0
"1","1","1","0","1",9.70700911070122,0
"1","0","1","1","1",22.0007820470019,0
"0","0","1","1","0",9.12113495281527,1
"1","1","0","0","1",11.015821282396,1
"0","1","0","1","0",-5.68870480207905,1
"0","1","1","1","0",-3.18508991354392,0
"1","0","0","1","0",16.095147085893,0
"1","0","1","0","1",25.0807345287324,1
"0","1","1","0","1",-3.94898210496611,0
"1","0","0","1","0",14.142898104771,0
"0","1","1","1","1",-2.96833820471823,0
"0","1","0","0","0",-4.86104811205599,1
"1","0","1","1","1",19.6290229384105,0
"1","0","1","1","0",19.1814376671414,0
"1","1","0","0","0",11.4745286930765,1
"0","0","1","1","0",10.6106955261423,1
"0","0","1","0","0",5.56464827208228,0
"0","1","0","0","0",-9.17893888947778,0
"0","1","0","0","0",-5.69711271160497,1
"1","1","0","1","1",9.07706856383706,1
"1","0","1","0","0",18.6800829706621,0
"1","1","0","1","0",9.36598284603265,1
"1","1","1","0","0",15.1933138051301,1
"0","1","0","1","1",-9.4594761218914,0
"1","0","0","1","0",20.0937946760261,1
"0","0","1","1","0",8.52090799915085,1
"1","1","1","1","1",15.3783057696461,1
"1","1","0","0","0",5.77011674296853,0
"0","1","1","0","1",-0.453534744854323,1
"1","0","0","1","0",19.9585020952938,1
"0","0","1","1","0",2.44771863083731,0
"0","1","1","1","1",-4.19658414104148,0
"1","0","1","1","1",19.821247883855,0
"1","1","0","1","1",10.9835114862226,1
"1","0","1","1","0",26.4552319749021,1
"0","1","1","0","1",-4.33958445631637,0
"1","1","1","1","1",16.1849901169839,1
"1","1","1","1","1",16.5583425217104,1
"0","0","0","1","1",-0.0738686162397419,0
"1","0","1","0","1",26.4065852589277,1
"0","1","1","1","1",-1.51082888240983,1
"0","0","1","0","0",5.33541959814552,0
"0","0","1","0","1",11.0302536417698,1
"0","1","1","0","1",0.888093553026345,1
"0","1","0","0","0",-10.6915514670392,0
"0","1","1","0","1",-3.73722590684438,0
"1","0","1","1","1",18.2004174747334,0
"0","1","0","0","1",-5.32730439614513,1
"1","0","0","1","1",20.6059626414235,1
"1","0","1","1","1",20.6895235751209,0
"0","0","0","1","0",4.56955114921106,1
"0","0","1","1","1",5.00394175805063,0
"1","0","0","0","0",21.0378319998813,1
"1","0","0","0","1",19.661885845034,1
"1","0","1","0","1",18.8697601417129,0
"1","0","0","1","0",18.9847668026142,1
"0","0","0","0","0",4.94504373701834,1
