0,1,2,3,4,5,6,7,8,9,a,b,c,d,e,outcome,treated
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33.97200544,0
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,18.8338619,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.59986789,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.581403549,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.59986789,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13477426,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,39.99046979,0
0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,25.88709765,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,-15.13814355,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,33.97200544,0
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,29.85569553,0
0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,-3.53490637,0
1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,12.18464073,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.550001423,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.13477426,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-3.53490637,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,14.28386047,0
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,35.44046836,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21.73801144,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23.83723118,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.550001423,0
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,29.85569553,0
1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,18.8338619,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
