a,b,c,d,e,treated,outcome
1.0,2.0,3.0,4.0,5.0,0.0,-0.4587110782973419
1.0,2.0,3.0,4.0,5.0,0.0,1.9147037792853594
1.0,2.0,3.0,4.0,5.0,0.0,3.159111768306212
1.0,2.0,3.0,4.0,5.0,0.0,0.02006970304625833
1.0,2.0,3.0,4.0,5.0,0.0,-0.5231171909870616
1.0,2.0,3.0,4.0,5.0,0.0,-1.2593350420502394
1.0,2.0,3.0,4.0,5.0,0.0,0.40205646792733385
1.0,2.0,3.0,4.0,5.0,0.0,-0.8818360376296847
1.0,2.0,3.0,4.0,5.0,0.0,-0.02180967718483652
1.0,2.0,3.0,4.0,5.0,0.0,1.6203368299473282
1.0,2.0,3.0,4.0,5.0,1.0,-0.32045806789349984
1.0,2.0,3.0,4.0,5.0,1.0,-0.20952826850762385
1.0,2.0,3.0,4.0,5.0,1.0,0.046945256601747753
1.0,2.0,3.0,4.0,5.0,1.0,-0.457137509068156
1.0,2.0,3.0,4.0,5.0,1.0,0.411661091111463
1.0,2.0,3.0,4.0,5.0,1.0,0.1540762289164771
1.0,2.0,3.0,4.0,5.0,1.0,1.0702649070444796
1.0,2.0,3.0,4.0,5.0,1.0,1.5512449790023453
1.0,2.0,3.0,4.0,5.0,1.0,1.1908082062139713
1.0,2.0,3.0,4.0,5.0,1.0,1.2327655864153948
