,X1,X2,X3,X4,X5
0,*,2.0,1.0,1.0,1.0
1,2.0,2.0,2.0,1.0,3.0
2,*,2.0,2.0,2.0,1.0
3,2.0,2.0,3.0,4.0,4.0
4,2.0,2.0,3.0,2.0,2.0
5,1.0,1.0,1.0,2.0,1.0
6,1.0,2.0,2.0,3.0,3.0
7,3.0,4.0,2.0,3.0,2.0
8,2.0,3.0,3.0,3.0,2.0
9,3.0,3.0,1.0,1.0,3.0
10,*,2.0,2.0,1.0,2.0
11,1.0,1.0,2.0,2.0,2.0
12,3.0,3.0,3.0,3.0,1.0
13,3.0,1.0,3.0,2.0,2.0
14,*,2.0,4.0,1.0,3.0
15,2.0,1.0,2.0,3.0,1.0
16,2.0,2.0,3.0,3.0,3.0
17,3.0,3.0,3.0,3.0,1.0
18,3.0,3.0,3.0,3.0,3.0
19,1.0,3.0,2.0,3.0,1.0
20,3.0,3.0,4.0,1.0,3.0
21,3.0,3.0,1.0,2.0,4.0
22,*,4.0,3.0,2.0,1.0
23,1.0,2.0,1.0,2.0,2.0
24,2.0,3.0,1.0,2.0,4.0
25,3.0,3.0,2.0,3.0,2.0
26,2.0,1.0,3.0,2.0,1.0
27,3.0,2.0,1.0,4.0,3.0
28,4.0,2.0,1.0,3.0,1.0
29,3.0,1.0,3.0,4.0,3.0
30,*,2.0,1.0,2.0,2.0
31,*,2.0,1.0,1.0,2.0
32,*,1.0,3.0,2.0,3.0
33,*,4.0,4.0,3.0,1.0
34,1.0,2.0,2.0,2.0,1.0
35,2.0,2.0,2.0,3.0,3.0
36,2.0,2.0,2.0,1.0,3.0
37,2.0,1.0,3.0,1.0,3.0
38,*,1.0,1.0,1.0,4.0
39,3.0,1.0,1.0,3.0,1.0
40,1.0,3.0,3.0,2.0,3.0
41,2.0,3.0,4.0,3.0,3.0
42,4.0,2.0,3.0,2.0,3.0
43,3.0,3.0,2.0,2.0,2.0
44,3.0,1.0,3.0,2.0,4.0
45,3.0,3.0,2.0,3.0,3.0
46,*,2.0,2.0,4.0,2.0
47,3.0,1.0,3.0,1.0,3.0
48,3.0,2.0,2.0,3.0,3.0
49,1.0,2.0,3.0,3.0,3.0
50,3.0,4.0,1.0,2.0,3.0
51,1.0,3.0,3.0,3.0,1.0
52,*,1.0,3.0,2.0,4.0
53,1.0,3.0,1.0,1.0,2.0
54,3.0,1.0,2.0,2.0,4.0
55,4.0,3.0,3.0,3.0,2.0
56,*,*,2.0,4.0,1.0
57,2.0,3.0,1.0,1.0,2.0
58,3.0,3.0,3.0,3.0,3.0
59,4.0,2.0,3.0,3.0,3.0
60,4.0,2.0,3.0,2.0,2.0
61,2.0,3.0,2.0,3.0,3.0
62,1.0,4.0,2.0,3.0,3.0
63,3.0,3.0,2.0,3.0,2.0
64,3.0,3.0,3.0,3.0,1.0
65,2.0,4.0,2.0,2.0,2.0
66,1.0,2.0,4.0,3.0,3.0
67,4.0,3.0,2.0,1.0,1.0
68,*,4.0,2.0,4.0,3.0
69,3.0,3.0,2.0,1.0,3.0
70,1.0,3.0,1.0,1.0,2.0
71,*,*,4.0,4.0,2.0
72,1.0,3.0,3.0,2.0,3.0
73,*,2.0,1.0,2.0,4.0
74,*,3.0,2.0,4.0,3.0
75,2.0,3.0,2.0,2.0,1.0
76,4.0,3.0,3.0,3.0,2.0
77,2.0,2.0,3.0,3.0,1.0
78,1.0,3.0,2.0,1.0,4.0
79,3.0,1.0,1.0,3.0,2.0
80,2.0,3.0,3.0,4.0,3.0
81,3.0,3.0,3.0,3.0,2.0
82,2.0,3.0,1.0,3.0,1.0
83,2.0,3.0,2.0,2.0,4.0
84,4.0,2.0,1.0,3.0,1.0
85,*,3.0,4.0,1.0,3.0
86,2.0,3.0,3.0,2.0,2.0
87,*,1.0,2.0,4.0,3.0
88,3.0,3.0,1.0,2.0,3.0
89,*,2.0,1.0,1.0,2.0
90,*,1.0,2.0,1.0,3.0
91,1.0,2.0,3.0,4.0,4.0
92,2.0,2.0,4.0,3.0,3.0
93,2.0,3.0,3.0,3.0,3.0
94,1.0,3.0,1.0,2.0,3.0
95,2.0,3.0,3.0,3.0,1.0
96,3.0,2.0,2.0,3.0,3.0
97,1.0,2.0,2.0,3.0,2.0
98,1.0,2.0,2.0,1.0,2.0
99,*,3.0,4.0,3.0,1.0
100,*,4.0,2.0,2.0,3.0
101,2.0,2.0,3.0,2.0,2.0
102,3.0,4.0,3.0,3.0,2.0
103,2.0,4.0,2.0,4.0,3.0
104,1.0,2.0,3.0,2.0,1.0
105,2.0,3.0,3.0,1.0,1.0
106,*,1.0,4.0,3.0,3.0
107,*,*,4.0,3.0,4.0
108,3.0,2.0,3.0,3.0,3.0
109,3.0,1.0,2.0,1.0,2.0
110,*,2.0,2.0,2.0,1.0
111,*,4.0,1.0,1.0,3.0
